step,epoch,loss,avg_epoch_loss,lr,logit_scale,logit_bias,elapsed_s
9100,1,3.025702,4.227199,9.941e-05,25.6834,-0.248069,4242.4
9150,1,2.550946,4.220229,9.94e-05,25.7577,-0.248833,4265.0
9200,1,3.139751,4.213451,9.939e-05,25.8111,-0.249437,4287.8
9250,1,2.932206,4.207003,9.938e-05,25.8653,-0.250067,4310.4
9300,1,2.752715,4.200433,9.937e-05,25.9243,-0.250706,4333.1
9350,1,2.574453,4.192866,9.936e-05,25.9941,-0.251494,4355.7
9400,1,3.167193,4.185951,9.935e-05,26.0505,-0.252181,4378.4
9450,1,2.866745,4.178591,9.935e-05,26.1181,-0.252977,4401.1
9500,1,2.929958,4.172053,9.934e-05,26.1592,-0.25349,4423.7
9550,1,2.890394,4.166083,9.933e-05,26.1875,-0.253971,4446.4
9600,1,2.853197,4.160499,9.932e-05,26.2123,-0.254364,4469.0
9650,1,3.191242,4.154854,9.931e-05,26.2516,-0.254839,4491.6
9700,1,2.857331,4.149211,9.93e-05,26.2971,-0.255327,4514.2
9750,1,3.281099,4.143595,9.929e-05,26.3508,-0.255915,4536.8
9800,1,3.130344,4.138231,9.928e-05,26.3906,-0.256395,4559.6
9850,1,3.088234,4.13199,9.927e-05,26.453,-0.257036,4582.2
9900,1,2.936007,4.125901,9.926e-05,26.4872,-0.257467,4604.8
9950,1,3.054841,4.120375,9.925e-05,26.5209,-0.25795,4627.5
10000,1,3.020319,4.114965,9.925e-05,26.5554,-0.258421,4650.3
10050,1,2.952492,4.109483,9.924e-05,26.6035,-0.25897,4676.9
10100,1,2.467123,4.102984,9.923e-05,26.6953,-0.25978,4699.5
10150,1,3.010743,4.097601,9.922e-05,26.7338,-0.26021,4722.2
10200,1,2.834982,4.091966,9.921e-05,26.7924,-0.260785,4745.0
10250,1,3.080601,4.08631,9.92e-05,26.8321,-0.261244,4767.7
10300,1,3.05956,4.08116,9.919e-05,26.8633,-0.261671,4790.4
10350,1,3.328053,4.076203,9.918e-05,26.9029,-0.262111,4813.0
10400,1,3.08799,4.070956,9.917e-05,26.951,-0.262707,4835.6
10450,1,2.565057,4.064987,9.916e-05,27.0177,-0.263435,4858.3
10500,1,2.413024,4.059111,9.915e-05,27.0781,-0.264134,4881.1
10550,1,3.268293,4.052735,9.914e-05,27.1376,-0.264817,4903.7
10600,1,3.242483,4.046533,9.913e-05,27.1899,-0.265501,4926.3
10650,1,2.807251,4.041116,9.912e-05,27.2135,-0.265975,4949.0
10700,1,2.877078,4.035816,9.911e-05,27.2381,-0.266369,4971.7
10750,1,2.838651,4.030712,9.91e-05,27.2746,-0.266809,4994.2
10800,1,2.578657,4.024789,9.909e-05,27.3433,-0.267382,5016.9
10850,1,2.935366,4.019363,9.908e-05,27.3959,-0.267868,5039.5
10900,1,2.893449,4.014114,9.907e-05,27.4435,-0.268347,5062.0
10950,1,2.887684,4.008521,9.906e-05,27.5045,-0.268883,5084.7
11000,1,2.651887,4.003362,9.905e-05,27.5448,-0.26936,5107.2
11050,1,2.939565,3.998494,9.904e-05,27.5807,-0.269787,5133.7
11100,1,2.764357,3.993656,9.902e-05,27.6121,-0.270191,5156.4
11150,1,2.651832,3.98863,9.901e-05,27.6578,-0.270625,5179.0
11200,1,3.025316,3.983314,9.9e-05,27.7187,-0.271203,5201.7
11250,1,2.846582,3.97829,9.899e-05,27.7546,-0.271613,5224.4
11300,1,3.005756,3.973673,9.898e-05,27.7865,-0.272017,5247.0
11350,1,2.997388,3.968935,9.897e-05,27.825,-0.27246,5269.6
11400,1,2.660278,3.964289,9.896e-05,27.8631,-0.272862,5292.1
11450,1,2.855373,3.959814,9.895e-05,27.8925,-0.273263,5314.8
11500,1,2.946076,3.954987,9.894e-05,27.9334,-0.273657,5337.4
11550,1,2.814187,3.949888,9.893e-05,27.9822,-0.27416,5359.9
11600,1,2.756567,3.944458,9.891e-05,28.0623,-0.274773,5382.6
11650,1,2.961474,3.938578,9.89e-05,28.1398,-0.275435,5405.2
11700,1,2.424968,3.933228,9.889e-05,28.1899,-0.275924,5427.8
11750,1,2.80884,3.92805,9.888e-05,28.2302,-0.276414,5450.4
11800,1,2.826306,3.92318,9.887e-05,28.2613,-0.27686,5473.0
11850,1,3.13968,3.918194,9.886e-05,28.3024,-0.277306,5495.7
11900,1,2.893018,3.913318,9.885e-05,28.3489,-0.277754,5518.4
11950,1,2.745847,3.908601,9.883e-05,28.3838,-0.278198,5541.0
12000,1,2.75601,3.904088,9.882e-05,28.4148,-0.278628,5563.5
12050,1,2.74714,3.899141,9.881e-05,28.4705,-0.279137,5590.6
12100,1,2.957,3.894406,9.88e-05,28.529,-0.279622,5613.1
12150,1,2.940082,3.889761,9.879e-05,28.572,-0.28001,5635.8
12200,1,2.601289,3.885012,9.878e-05,28.6279,-0.280481,5658.2
12250,1,2.718367,3.880347,9.876e-05,28.6705,-0.280867,5680.8
12300,1,2.848215,3.876075,9.875e-05,28.6894,-0.281176,5703.3
12350,1,2.532477,3.871459,9.874e-05,28.7337,-0.281539,5725.9
12400,1,2.865618,3.866549,9.873e-05,28.7824,-0.281981,5748.6
12450,1,2.865638,3.86156,9.871e-05,28.8365,-0.282531,5771.2
12500,1,2.730186,3.856857,9.87e-05,28.8699,-0.282934,5793.8
12550,1,2.603945,3.852179,9.869e-05,28.9085,-0.283348,5816.4
12600,1,2.879862,3.847323,9.868e-05,28.9691,-0.283833,5839.1
12650,1,2.75924,3.842807,9.867e-05,29.0183,-0.284221,5861.7
12700,1,3.141219,3.838786,9.865e-05,29.0396,-0.284575,5884.5
12750,1,2.531276,3.834546,9.864e-05,29.0741,-0.284993,5907.0
12800,1,2.660554,3.830274,9.863e-05,29.1093,-0.285384,5929.7
12850,1,2.901909,3.825957,9.862e-05,29.1341,-0.285723,5954.0
12900,1,2.547637,3.822095,9.86e-05,29.1547,-0.286001,5977.8
12950,1,2.528091,3.817795,9.859e-05,29.1913,-0.286475,6002.4
13000,1,2.98012,3.813768,9.858e-05,29.2084,-0.28677,6026.0
13050,1,1.830846,3.808782,9.856e-05,29.2681,-0.287204,6052.9
13100,1,2.491547,3.80423,9.855e-05,29.299,-0.287615,6076.4
13150,1,2.882491,3.80023,9.854e-05,29.311,-0.287905,6099.0
13200,1,2.837782,3.796255,9.852e-05,29.3414,-0.288199,6121.8
13250,1,2.734228,3.791424,9.851e-05,29.429,-0.288771,6144.4
13300,1,2.695141,3.787528,9.85e-05,29.4422,-0.289113,6166.9
13350,1,2.500435,3.782994,9.849e-05,29.504,-0.289618,6189.5
13400,1,2.790612,3.778877,9.847e-05,29.5359,-0.290019,6212.4
13450,1,2.997048,3.775047,9.846e-05,29.5619,-0.290361,6236.0
13500,1,2.342567,3.771091,9.845e-05,29.5908,-0.290677,6258.8
13550,1,2.559495,3.766821,9.843e-05,29.6414,-0.291162,6281.4
13600,1,2.777155,3.762489,9.842e-05,29.6938,-0.291564,6304.1
13650,1,2.663292,3.758629,9.84e-05,29.7056,-0.291823,6326.9
13700,1,2.630549,3.755113,9.839e-05,29.7018,-0.292074,6349.4
13750,1,2.681511,3.751433,9.838e-05,29.7214,-0.292407,6372.2
13800,1,2.585598,3.747743,9.836e-05,29.7492,-0.292757,6395.0
13850,1,2.65172,3.744171,9.835e-05,29.7798,-0.293145,6417.7
13900,1,2.709295,3.740769,9.834e-05,29.7865,-0.293321,6440.4
13950,1,2.796603,3.737601,9.832e-05,29.8024,-0.293575,6463.0
14000,1,2.649161,3.734105,9.831e-05,29.8339,-0.293883,6485.8
14050,1,2.483521,3.729829,9.829e-05,29.9155,-0.294355,6512.1
14100,1,2.692568,3.726061,9.828e-05,29.9403,-0.294676,6534.7
14150,1,2.652555,3.722642,9.827e-05,29.9609,-0.294959,6557.3
14200,1,2.693846,3.719295,9.825e-05,29.9735,-0.295205,6580.1
14250,1,2.680045,3.715653,9.824e-05,30.0218,-0.295598,6603.0
14300,1,2.760587,3.711793,9.822e-05,30.0773,-0.296005,6625.7
14350,1,2.843668,3.707953,9.821e-05,30.1121,-0.296447,6648.5
14400,1,2.673463,3.704194,9.819e-05,30.1386,-0.296822,6671.2
14450,1,2.05922,3.700415,9.818e-05,30.1786,-0.297244,6693.9
14500,1,2.101109,3.696242,9.816e-05,30.231,-0.297738,6716.6
14550,1,2.585184,3.692153,9.815e-05,30.2685,-0.29816,6739.3
14600,1,2.706613,3.688743,9.814e-05,30.2788,-0.298375,6761.9
14650,1,2.23783,3.685224,9.812e-05,30.3014,-0.298664,6784.7
14700,1,2.695365,3.681923,9.811e-05,30.3147,-0.29892,6807.3
14750,1,2.45353,3.678354,9.809e-05,30.3522,-0.299252,6830.4
14800,1,2.296446,3.67435,9.808e-05,30.4068,-0.29968,6853.1
14850,1,2.499713,3.670407,9.806e-05,30.4582,-0.300078,6875.8
14900,1,2.614852,3.666546,9.805e-05,30.5008,-0.300485,6898.5
14950,1,2.952515,3.663311,9.803e-05,30.5077,-0.300774,6921.1
15000,1,2.750374,3.66016,9.802e-05,30.5191,-0.301033,6943.9
15050,1,2.658268,3.65717,9.8e-05,30.5176,-0.301248,6970.5
15100,1,2.641504,3.653806,9.799e-05,30.5482,-0.301571,6993.0
15150,1,2.595163,3.649925,9.797e-05,30.608,-0.301969,7015.6
15200,1,2.503841,3.645448,9.795e-05,30.7017,-0.302604,7038.2
15250,1,2.341302,3.641514,9.794e-05,30.7497,-0.303079,7060.9
15300,1,2.676087,3.638049,9.792e-05,30.7686,-0.303388,7083.6
15350,1,2.435503,3.63423,9.791e-05,30.8251,-0.303738,7106.2
15400,1,2.662957,3.630559,9.789e-05,30.8783,-0.30423,7128.9
15450,1,2.44948,3.627051,9.788e-05,30.899,-0.304523,7151.8
15500,1,2.635273,3.623742,9.786e-05,30.9262,-0.30485,7174.4
15550,1,2.384309,3.620803,9.785e-05,30.9148,-0.305099,7197.0
15600,1,2.635909,3.617237,9.783e-05,30.9569,-0.305448,7219.6
15650,1,2.690723,3.613796,9.781e-05,30.9834,-0.305832,7242.3
15700,1,2.402349,3.61065,9.78e-05,30.9876,-0.306063,7265.0
15750,1,2.447214,3.607109,9.778e-05,31.037,-0.306513,7287.7
15800,1,2.50062,3.603299,9.777e-05,31.0909,-0.307027,7310.4
15850,1,2.508721,3.600234,9.775e-05,31.0961,-0.307323,7333.1
15900,1,2.25554,3.596619,9.773e-05,31.139,-0.307749,7355.7
15950,1,2.8693,3.593468,9.772e-05,31.1524,-0.308042,7378.3
16000,1,2.683463,3.589707,9.77e-05,31.2006,-0.308346,7400.9
16050,1,2.410418,3.586023,9.768e-05,31.2439,-0.308743,7427.5
16100,1,2.255194,3.582585,9.767e-05,31.2674,-0.309075,7452.3
16150,1,2.758542,3.579429,9.765e-05,31.2843,-0.309326,7475.1
16200,1,2.824115,3.575576,9.764e-05,31.3403,-0.309823,7497.9
16250,1,2.369336,3.571978,9.762e-05,31.3741,-0.310209,7520.6
